,Agency_Text,Sex_Code_Text,Ethnic_Code_Text,Language,LegalStatus,CustodyStatus,MaritalStatus,DecileScore,Age
19692,1,1,10,1,1,1,1,1,19
16256,10,1,100,1,10,10,10,0,38
20200,1,1,10,1,10,10,10,2,35
51852,10,1,10,1,10,10,1,0,27
14768,1,10,1,1,1,1,1,0,44
21481,1,1,10,1,1,1,100000,1,51
14174,10,1,100,1,10,10,1,0,40
31240,1,10,10,1,1,1,1,2,27
33682,10,10,1,1,10,10,10,0,51
13356,1,1,1000,1,1,1,10,0,43
6474,10,1,10,1,10,10,1,1,19
27265,1,1,10,1,1,100,1,1,25
58425,10,10,10,1,1000,10,1,1,33
45835,1,1,1,1,1,1,1,1,20
47941,1,1,10,1,1,1,1,1,23
18242,1,1,10,1,1,10,1,1,49
14500,10,10,100,1,1000,10,10,0,35
12135,1,10,10,1,1,1,1,0,51
54789,1,10,10,1,1,1,1,0,24
47849,1,1,10,1,1,1,1,0,21
52822,100,1,1,1,10000,10,1,0,27
35697,10,1,1,1,1000,1,1,0,52
36061,10,1,1,1,10,10,1,0,27
41511,1,1,1,1,10,10,1,0,26
27822,10,10,100,1,1000,10,10,0,39
32208,10,1,100,1,1000,10,10,0,23
57245,10,1,1,1,10,10,1000,2,49
50658,1,1,10,1,1,1,1,1,20
43934,10,1,10,1,10,10,1,0,31
20899,10,1,100,1,1000,10,10,0,50
32534,10,1,1,1,1000,10,1,0,23
3922,1,1,1000,1,1,1,1,1,26
52266,10,10,100,1,1000,10,1,0,24
39908,10,1,10,1,10,10,1,1,35
34276,1,1,1,1,1,100,1,0,56
14202,1,1,10,1,1,1,1,2,29
18642,1,1,10,1,1,1,1,0,21
11289,1,1,100,1,1,1,1,1,19
39818,1,1,10,1,1,1,1,0,21
25299,1,1,10,1,10,10,10,1,22
52596,1,1,10,1,1,1,1,2,18
22289,1,1,10,1,1,1,1,0,29
9425,1,1,10,1,1,100,1,0,19
5596,1,1,10,1,1,1,1,0,34
21126,10,1,100,1,10,10,1,0,20
4809,1,1,10,1,1,1,1,1,23
27534,1,1,1,1,1,1,1,0,37
21207,10,10,1,1,10,10,1,0,30
32547,10,1,100,1,10,10,10,0,48
35983,1,1,10,1,10,10,1,1,29
1973,1,1,10,1,1,1,1,1,29
57226,1,1,1,1,1,1,1,0,47
7461,1,1,1,1,1,1,1,0,39
50678,1,10,1,1,1,1,10,0,30
37470,1,1,1,1,1,1,1,0,25
10250,1,10,1,1,1,1,1,0,27
27002,10,1,10,1,10,10,1,0,45
6363,1,10,1,1,1,100,10,0,48
16050,1,1,10,1,1000,10,1,0,26
40819,10,1,1000,1,10,10,10,0,35
13975,10,1,10,1,10,10,1,0,26
2403,1,1,100000,1,1,1,1,0,30
27514,10,1,100000000,1,10,10,1,2,21
7868,10,1,10,1,100,10,1,0,31
697,1,1,10,1,1,1,1,0,47
31647,1,10,10,1,1,1,1,1,19
57803,10,1,10,1,1,100,1,0,28
8137,100,1,1,1,10,10,1,0,33
45390,1,10,10,1,1,1,1,0,22
12375,10,1,1,1,100,10,10,0,42
24941,1,10,1,1,10,10,1,1,36
15493,1,1,1,1,1,100,1,0,27
30103,1,1,10,1,1,100,1,2,25
2061,1,1,10,1,1,1,1,1,24
51791,10,1,10,1,1000,10,1,1,28
42625,1,1,10,1,1,100,1,0,56
29608,1,1,10,1,1,100,1,2,23
46055,1,1,1,1,1,1,1,1,54
12681,1,10,1,1,1,1,1,0,28
22851,10,1,10,1,1,100,1,1,22
2722,1,1,10,1,1,1,1,0,37
48952,1,1,10,1,1,1,1,2,57
56980,10,10,100,1,10,10,1,1,22
37382,10,10,1,1,10,10,1,0,58
19756,1,1,1,1,1,1,100,0,24
6107,10,1,10,1,1,1,1,0,27
20733,1,1,10,1,1,1,1,0,39
27866,1,1,100,1,1,100,1,1,34
24662,1,1,1,1,1,1,1,0,18
37315,10,1,1,1,10,10,10,0,36
49816,10,1,10,1,10,10,1,0,24
45267,1,1,10,1,1,1,1,0,31
29369,1,1,1,1,1,1,1,0,54
4667,1,10,10,1,1,1,1,0,38
50010,1,1,1,1,1,100,1,0,56
51856,1,1,10,1,1000,10,10,0,57
26267,10,10,1,1,10,10,1,1,29
16355,1,10,1,1,10,10,1000,0,51
51427,1,1,1000,1,1000,10,1,2,22
54780,1,10,10,1,1,100,1,0,23
39483,1,1,1,1,1,1,1,0,33
11464,10,1,1,1,10,10,1,0,22
24020,1,1,10,1,1,1,1,0,42
39339,1,1,1,1,1,1,1,1,20
42792,1,1,10,1,1,100,1,2,30
24483,1,1,10,1,1,1,1,0,23
58494,10,1,1,1,10,10,1000,0,59
49409,10,10,10,1,1,1,1,0,37
8712,1,1,1,1,1,1,1,0,24
1345,10,1,10,1,10,10,1,2,32
54791,1,10,10,1,1,1,1,0,24
55760,10,1,10,1,10,10,1,0,46
18555,1,10,1,1,1,1,1,0,32
43768,1,1,1,1,1,1,1,1,32
53346,1,1,10,1,1,1,1,2,21
763,1,1,10,1,1,1,1,2,22
24594,10,1,1,1,1000,10,1000,0,59
19308,10,1,10,1,10,10,1,0,26
3141,1,1,100,1,1,1,1,0,21
50348,10,10,1,1,1000,10,1000,0,40
18740,1,1,1,1,1,1,1,2,46
32604,1,1,1,1,1,1,1,1,21
49704,1,10,10,1,1,1,1,0,21
30629,1,1,1,1,1,1,1,2,45
7477,1,1,1,1,1,1,1,0,20
41869,1,1,100,1,1,100,1,1,19
15414,1,10,10,1,1,100,1,0,21
36009,10,10,1,1,1000,10,1,0,44
51643,10,1,100,1,1000,10,10,0,51
22996,1,10,1,1,1,1,1000,0,60
56901,1,10,1,1,10,10,1,0,35
10495,1,1,100,1,1,1,1,0,28
56963,1,1,1,1,1,1,100000,0,56
25417,1,10,10,1,1000,10,1,0,21
24962,1,1,10,1,1,1,1,0,19
24196,1,1,1,1,1,1,1,0,55
1146,1,10,1,1,1,1,1,0,49
59293,1,1,10,1,1,1,1,0,36
12621,1,1,100,1,100,10,10,0,49
50552,10,1,1,1,10,10,100000,0,55
47075,1,1,10,1,1,1,1,0,19
48716,10,10,100,1,10,10,1000,0,30
32353,10,1,10,1,10,10,1,0,54
34382,10,1,1,1,1,100,1,1,35
3317,1,1,100,1,1,1,10,0,47
33930,1,10,10,1,1,1,1,0,33
50048,10,1,10,1,1000,10,1,0,37
14449,1,1,1,1,1000,10,1,0,32
3029,1,10,1,1,1,1,1,2,38
7718,1,1,10,1,1,1,1,0,45
39123,1,1,10,1,1,1,1,0,47
17556,1,10,10,1,1,100,1,1,20
22765,1,1,10,1,1000,10,1,1,19
36015,10,1,1,1,10,10,10,0,53
57880,10,1,1,1,1,100,10,0,70
48992,10,1,100,1,10,10,1,1,21
46074,1,10,10,1,1,1,1,0,30
37455,10,1,100,1,10,10,1,0,28
46626,1,10,10,1,1,1,1,0,25
17130,1,1,10,1,10,10,1,2,23
53414,1,1,10,1,1,1,1,0,22
54297,1,1,1,1,1,1,1,0,34
48354,10,1,1,1,10,10,1,1,22
45138,1,10,100,1,1,1,1000,0,54
13089,1,1,10,1,1,1,1,1,22
40378,1,1,1,1,1,1,1,2,19
57538,1,1,100,1,1,1,1,0,36
11959,10,1,10,1,10,1,1,2,25
32755,1,1,10,1,1,1,1,1,22
52793,1,10,1,1,1,100,1000000,0,54
26553,1,1,10,1,10,10,1,1,21
20082,1,1,10,1,1,1,1,0,25
7558,1,10,1,1,1,1,10,1,41
49419,1,1,10,1,1,100,1,0,22
23410,1,1,10,1,1,100,1,2,30
46667,1,1,1,1,1,100,10,0,49
5967,1,1,10,1,1,1,1,1,22
31765,10,1,10,1,10,10,1,2,30
19504,1,10,1,1,1,100,1,1,20
33559,10,1,100,1,10,10,1,1,20
20526,10,10,1,1,1000,10,1,0,22
44685,100,1,10,1,10,1,1,2,25
27016,1,1,1,1,1,1,1,1,29
20942,10,1,100,1,10,10,10,0,28
8159,10,1,1,1,10,10,1,0,22
28079,1,10,1,1,1,1,1,1,34
43904,1,1,1,1,1,1,10,0,42
19609,1,1,10,1,1,1,100,1,21
42378,10,1,1,1,10,10,1,1,24
53000,1,1,1,1,10,10,1000,0,41
17317,100,1,10,1,100,10,1,2,31
25314,1,1,10,1,1,1,10,0,34
1139,1,1,1,1,1,1,1,0,59
52962,1,10,1000,1,1,1,1,0,37
28984,1,1,10,1,1,1,1,1,18
18726,1,1,10,1,1,1,10,1,23
7653,1,1,1,1,1,1,10,0,47
17972,10,10,1,1,10,10,1,1,40
44454,10,1,1,1,10,10,1,0,28
21870,10,1,100,1,1000,10,1000,0,50
6845,1,1,10,1,1,100,1,0,18
55713,1,1,10,1,10,10,1000,0,40
17713,10,10,1,1,10,10,1,0,33
23321,10,1,100,1,1000,10,1,0,31
10024,10,10,1,1,10,10,1,1,21
3844,1,1,10,1,1,1,1,0,32
56363,1,1,10,1,10,10,10,0,59
47821,1,1,1,1,1,1,1,0,40
36079,1,10,1,1,1,100,1,0,43
48315,1,1,10,1,10,10,1,1,19
53202,10,1,1,1,10,10,1,0,32
10902,1,10,10,1,1,1,1,1,36
2413,1,1,1,1,1,1,1,1,46
38155,10,1,1,1,10,10,1,0,75
1614,1,1,1,1,1,1,10,0,43
54987,1,1,10,1,1,1,10,0,37
33921,1,1,10,1,1,1,100,0,48
12611,1,1,1,1,1,1,1,0,21
38866,1,1,1,1,1,1,1,0,37
6743,10,10,1,1,10,10,1,0,24
57659,1,10,1000,1,1,1,1,0,46
1910,1,10,10,1,1,1,1,0,21
53566,1,1,10,1,1,1,1,0,28
20410,1,1,1,1,10,10,1000,0,64
37022,1,1,10,1,1,1,1,1,20
2833,1,1,10,1,1,100,1,2,20
1274,1,1,1,1,1,1,1,0,32
17288,10,1,100,1,10,10,1,1,32
27735,1,1,10,1,1000,100,1,0,36
1976,1,10,10,1,1,1,1,0,20
15679,1,10,1,1,10,10,1000,0,53
26980,10,10,10,1,1000,10,1,2,22
57621,1,10,1,1,1,1,1,0,22
58450,1,10,10,1,1,100,1,2,28
8988,1,1,1,1,1,1,1,0,37
43523,10,10,1,1,10,10,1,1,52
29654,10,10,100,1,10,10,1,1,24
7009,10,1,100,1,1000,10,1,0,35
17752,1,1,10,1,10,10,1,1,26
50711,10,10,1,1,1000,10,10000,0,36
26190,1,1,10,1,1,1,10,0,28
1511,10,1,100,1,10,10,1,1,35
1368,1,10,10,1,1,1,1,0,25
22489,10,1,10,1,1,10,1,2,26
20426,1,10,100,10,1,100,1,0,48
47552,1,1,10,1,1,1,100,0,25
24244,1,1,10,1,1,1,10,0,75
8046,10,10,100,1,10,10,1,0,22
320,1,1,1,1,1,1,1,0,27
23329,1,1,1,1,1,100,1,0,43
28450,1,1,10,1,1,100,1,1,20
47906,10,1,10,1,10,10,1,0,56
1712,1,1,10,1,1,1,1,0,21
59178,1,10,1,1,1,1,1,0,28
9155,1,1,10,1,1,1,10,0,34
38447,10,1,10,1,1000,10,1,0,39
33739,10,1,10,1,1,100,1,1,18
26623,1,1,1,1,1,1,1000,0,39
9881,1,1,10,1,1,1,1,0,30
46623,10,1,100,1,10,10,10,0,28
5889,1,1,10,1,1,1,1,2,25
22418,1,1,10,1,1,100,1,1,39
36570,1,1,1,1,1,100,100,0,33
24275,10,10,100,1,10,10,1,0,57
57549,1,1,10,1,1,1,1,0,22
39235,1,1,1,1,1,1,1000,0,64
48127,1,1,10,1,10,10,1,1,26
42592,10,1,1,1,10,10,1,0,58
40450,1,1,10,1,1,1,1,0,60
37808,10,1,10,1,10,10,1,0,20
11758,1,10,1,1,1,1,10000,1,28
19560,1,1,10,1,1,1,1,0,44
39750,1,1,1,1,1,1,1,0,36
47716,1,1,1,1,1,1,10,0,27
59985,1,1,1,1,1,1,1,1,22
11651,1,1,10,1,1,1,1,0,47
51989,10,1,100,1,1000,10,10,0,29
20491,1,1,1,1,10,10,10,0,36
25662,1,1,10,1,1,100,10,1,50
16636,1,1,1,1,1,1,1,0,69
55408,1,1,10,1,1,1,1,1,20
12983,1,10,1000,1,1,1,10,0,36
39328,1,10,1,1,1,1,1,1,21
28499,1,1,10,1,1,100,1,0,31
58716,1,1,10,1,10,10,1,1,24
34940,1,1,1000,1,1,1,1,0,21
34048,1,10,1,1,1,100,1,0,18
11720,1,1,1,1,1,1,1,0,29
29518,1,1,1,1,1,1,1,2,50
49959,1,1,10,1,1,1,1,1,32
36815,1,1,10,1,1,1,1,0,34
56811,1,1,1,1,1,1,1,0,24
17608,10,1,10,1,10,10,1,0,50
34708,10,1,10,1,1000,10,1,0,64
1521,10,1,10,1,10,10,1,1,29
16108,1,1,10,1,1,100,1,1,53
39688,1,1,1,1,1,1,1,1,21
44301,1,10,1,1,1,1,1,0,56
34046,1,1,10,1,10,10,1,0,24
55382,1,1,10,1,1,1,1,0,20
45444,1,1,1,1,1,100,1,1,21
68,1,10,1,1,1,1,1,0,32
40356,10,10,1,1,1000,10,1000,0,43
20632,1,1,10,1,1,1,1,1,25
28809,1,1,1,1,1,1,1,0,20
5122,1,1,1,1,10,10,1,0,54
2150,1,1,10,1,1000,10,1,1,45
47303,10,1,100,1,10,10,1,0,29
3061,1,1,10,1,1,1,1,2,26
37008,1,1,1,1,1,1,10,0,44
37051,1,1,10,1,1,1,1,0,39
34480,10,1,1,1,10,10,1,2,30
11771,1,1,1,1,1,1,1,0,56
20021,1,10,1,1,1,1,10,0,61
56805,10,1,100000,1,10,10,1,2,53
14265,1,1,10,1,10,10,10000,0,40
36060,10,1,1,1,10,10,1,0,27
38991,1,1,10,1,1,1,1,0,27
988,1,1,1,1,1,1,1,0,45
17233,10,1,1,1,10,10,1,1,24
30019,10,1,10,1,1000,10,1,1,33
57299,1,1,1,1,1,1,10,0,25
19471,10,1,100,1,10,10,10,0,39
39535,10,1,100,1,10,10,1,1,22
44227,1,1,10,1,1,1,100,1,32
15209,1,10,1,1,1,1,1,0,26
37625,1,10,10,1,1,1,1,0,32
43078,1,1,10,1,1,1,1,0,37
13274,1,1,10,1,1,1,1,0,23
33439,1,1,1,1,1,1,1,1,30
28515,1,1,10,1,1000,1,1,1,45
40888,10,1,10,1,10,10,1,2,18
17125,1,1,1,1,1000,10,1,0,23
51758,1,10,1,1,1,100,1,0,38
23889,1,1,1,1,10,10,1,1,21
36988,1,1,1,1,10,10,1,1,26
58686,1,1,100,1,1,1,1,0,25
23628,10,1,1,1,1000,10,1,0,29
49654,10,1,10,1,1,1,1,2,25
49732,10,1,100,1,1,1,1,1,26
267,1,1,10,1,1,1,1,1,25
12689,10,1,1,1,10,10,100000,0,61
11191,1,1,10,1,1,1,1,1,50
396,1,1,10,1,1,1,100,1,29
39804,1,1,100,1,1,1,1,2,22
27118,1,10,10,1,1,1,1,1,23
11268,1,1,1,1,1,1,1,0,38
6257,1,1,10,1,1,1,1,2,28
31668,1,1,10,1,1,1,1,0,59
43138,1,10,1,1,1,1,1,0,20
56322,10,1,100,1,10,10,1,0,25
3112,10,1,100,1,1000,10,1,0,27
49149,1,1,1,1,1,1,10,0,60
3735,1,1,10,1,1,1,1,0,23
40410,1,1,1,1,10,10,1000,0,65
36587,10,10,1,1,10,10,10,1,33
30494,1,1,10,1,1,1,1,1,20
42462,10,1,100,1,1000,10,1,1,21
8627,1,1,10,1,1,1,1,1,21
56360,1,1,10,1,1,1,1,0,18
32164,1,1,100,1,1,100,1,1,29
33765,10,1,1,1,1000,10,1,0,71
35752,1,10,10,1,1,1,1,2,28
20967,10,1,1,1,10,10,10,0,43
34881,1,1,10,1,1,100,100,0,50
40712,10,1,10,1,10,10,1000,0,38
22794,10,1,1,1,10,10,10,0,41
14342,1,1,1,1,1,1,1,0,24
19554,10,1,1,1,1000,10,1,1,27
31946,1,1,1,1,1,1,1,0,26
52756,1,1,10,1,1,1,1,0,58
35666,1,10,1,1,1,100,1,0,22
25659,10,1,10,1,10,10,10,0,38
53552,1,1,1,1,10,10,1,1,36
20155,10,1,1,1,10,10,1,0,52
3863,1,1,10,1,1,1,1,0,20
22976,10,10,100,1,1000,10,1000,0,50
4695,1,1,10,1,1,1,1,0,54
51571,10,10,1,1,10,10,10000,0,33
53614,10,10,1,1,1000,10,1,0,26
50742,1,1,1,1,10,10,1,1,24
23425,10,1,1,1,10,10,1,0,41
25186,1,1,10,1,1,1,1,2,50
23394,1,1,1,1,1,100,1,0,54
50540,10,10,10,1,1,1,1,0,28
47304,1,10,1,1,1,1,1,0,25
60636,1,10,1,1,1,1,100,1,19
721,1,1,10,1,1,1,1,0,36
18757,1,1,10,1,1,1,1,1,30
16751,1,1,10,1,1000,10,10,0,33
50426,1,1,10,1,1,1,1,0,23
23606,10,1,10,1,10,10,1,1,26
4506,1,1,1,1,1,100,1,0,75
42203,10,1,10,1,10,10,1,0,26
3437,1,1,1,1,1,1,1,0,57
22442,10,1,1,1,10,10,1,2,40
15105,1,1,10,1,1,1,1,0,36
59765,1,1,1,1,1,1,1,1,33
53130,1,1,1,1,1,100,1,0,39
41917,1,10,1,1,1,1,1,0,24
33995,1,1,1,1,1,100,1,0,42
44769,1,1,1,1,1,1,1,0,24
41703,10,1,10,1,10,10,1,0,25
14501,10,10,100,1,1000,10,10,0,35
12128,1,1,10,1,1,1,10000,0,55
15025,1,1,10,1,1,1,1,2,24
23080,1,1,10,1,1,1,1,0,32
33173,10,1,1,1,10,10,1,0,30
60484,1,1,10,1,1,1,10,0,33
48642,1,1,10,1,1,1,1,0,49
34054,1,1,1,1,1,1,1000,0,49
13751,10,1,100,1,10,10,1,0,30
2463,10,1,10,1,10,10,10,0,39
9080,1,1,1,1,1,1,1,0,29
8806,1,1,1,1,1,1,1,2,24
17697,10,10,10,1,10,10,1,0,23
12102,10,1,100,1,1,100,1,0,43
40218,1,1,100,1,1,1,1,0,26
25541,1,1,1,1,10,10,1,0,22
51789,10,1,10,1,1000,10,1,1,28
1313,1,1,100,1,1,1,10,0,36
33487,1,1,1,1,1,100,1,0,65
86,1,1,1,1,10,10,1,1,21
36260,10,10,1,1,10,10,1,0,36
12729,1,1,10,1,1,1,1,2,34
8238,10,1,100,1,1000,10,10,0,29
10870,1,1,1,1,1,1,1000,2,36
42425,1,1,1,1,10,10,1,0,31
38386,1,10,1,1,10,10,10000,0,36
1227,1,1,10,1,1,1,1,1,22
30769,1,1,1,1,10,10,1,1,21
14955,1,10,10,1,1,1,10000,1,51
48548,1,1,1,1,1,1,1,1,52
36370,10,1,10,1,10,10,1,0,48
11160,1,1,100,1,1,1,10,0,35
57742,10,1,1,1,10,10,1,0,66
59007,1,10,1,1,1,1,10000,0,26
28152,10,1,10,1,10,10,1,1,21
30998,1,10,1,1,1,1,10,0,67
13292,1,1,10,1,1,1,1,0,26
26064,10,1,1000,1,10,10,10,0,47
26782,1,1,100,1,1,1,1,1,25
29099,1,1,10,1,1,1,1,1,24
53227,10,10,10,1,10,10,1,1,34
37609,10,1,100,1,1000,10,10,0,60
17365,10,1,100,1,1000,10,10,0,48
15270,1,1,10,1,1,100,1,1,48
1569,1,10,1,1,1,100,10,0,63
57425,1,1,1000000,1,1,1,1,0,48
15248,1,10,10,1,1,1,100,0,26
57998,1,1,10,1,1,1,1,1,26
17361,10,1,10,1,10,10,1000,0,43
1654,1,1,10,1,1,1,1,0,20
42456,1,10,10,1,1,1,1,1,20
38946,1,1,10,1,1,1,1,0,38
57000,1,1,1,1,1,1,1,0,35
20589,1,10,10,1,1,100,1,0,40
49870,1,1,1,1,1,1,1000,0,63
54708,10,1,1,1,10,10,10,0,40
37312,10,10,1,1,10,10,1,0,60
36723,1,10,1,1,1,100,10,0,35
21086,1,1,10,1,1,1,1,0,19
7014,1,10,10,1,1,100,1,2,26
18026,10,1,1,1,10,10,1,0,28
45544,10,1,1,1,10,10,1,2,29
32327,1,10,10,1,1,1,1,1,39
48867,1,1,10,1,1,100,1,0,51
29712,1,1,1,1,1,1,1000,0,41
54420,1,1,10,1,1,1,10,0,48
35737,10,10,10,1,10,10,1,0,33
13505,10,1,10,1,10,10,1,0,58
1080,1,1,1,1,1,1,1,0,28
59363,1,10,100,1,1,1,1000,0,37
27405,1,1,100,1,1,1,1,1,27
437,1,1,1,1,1,1,1,1,25
57167,1,1,10,1,1,1,10,0,34
41006,1,1,1,1,10,10,1,0,46
51185,10,1,1,1,1000,10,10,0,37
17850,10,1,10,1,10,10,10,0,38
15767,10,1,10,1,1000,10,1,1,30
31685,1,1,100,1,1,1,1,0,45
21773,1,1,1,1,10,10,1,0,33
33808,1,1,1,1,1,1,1,0,56
14933,1,1,10,1,1,1,1,0,28
3714,10,1,1,1,10,10,1000,0,59
28843,1,1,10,1,1,1,1000000,1,30
52293,10,10,1000,1,10,10,1,0,33
26460,1,1,10,1,1,1,1,1,19
50141,10,1,10,1,10,10,10000,0,45
18823,1,1,10,1,1,1,1,0,25
54959,1,1,1,1,1,1,1,0,24
38254,1,1,100,1,1,100,10,0,54
29166,1,1,1,1,10,10,1,0,24
44236,1,1,100,1,1,1,1,0,19
8051,1,1,10,1,1,1,1,0,21
26570,10,1,100,1,10,10,1,1,30
9914,1,1,10,1,1,1,1,2,49
50191,1,1,10,1,1,1,1,1,23
1387,10,10,1,1,10,10,1,0,32
3196,1,1,1000,1,1000,10,1,0,28
57885,1,1,10,1,1,1,1,1,27
19751,1,10,10,1,10,10,1,1,34
8854,1,1,10,1,1,1,1,0,54
57120,10,1,100,1,1000,10,1,0,23
19419,10,1,1,1,10,10,1,0,36
17442,1,1,1,1,1,100,1,0,33
7692,1,10,10,1,1,100,1,0,53
52776,10,1,100,1,1000,10,1,0,37
47248,10,1,1,1,10,10,1,2,24
58965,1,1,1000,1,1,100,1,0,22
12194,1,1,10,1,1,1,1,0,56
27660,10,1,100,1,1000,10,1000,0,46
54336,1,1,10,1,1,1,1,1,20
51795,10,10,10,1,1000,10,1,0,31
21225,1,1,10,1,1,1,1,1,19
26101,1,1,10,1,1,1,1,2,34
23894,1,1,10,1,1,1,1,0,40
40272,1,10,1,1,1,1,1,0,47
36123,1,10,10,1,1,100,1,0,50
47541,1,1,10,1,1,1,1,1,27
24249,10,1,10,1,10,10,1,1,22
19207,10,1,10,1,1000,10,1,0,36
17680,10,1,1,1,10,10,1,0,33
3660,1,1,10,1,1,1,100000,0,58
43093,1,1,10,1,1,1,10,1,53
31293,1,10,100,1,1,100,1,0,34
18780,1,1,10,1,10,10,1,0,38
19046,1,1,1,1,10,10,10,0,60
44899,1,10,100,1,1,100,1000,0,42
22525,1,1,10,1,1,1,1,0,27
36110,10,10,100,1,10,10,1,0,22
21906,1,1,10,1,1,1,1,0,23
11583,1,1,1,1,1,1,1,0,23
19847,1,1,10,1,1,1,1,1,19
12692,1,1,1000,1,1,1,1,0,19
7597,1,1,1,1,1,1,1,0,35
48290,10,1,1,1,10,10,1,0,35
6695,1,1,1,1,1,1,100000,1,72
13695,1,1,1,1,1,1,1,1,25
37000,10,1,10,1,10,10,1,0,40
22411,1,1,10,1,1,1,1,2,28
27466,10,1,10,1,10,10,1,0,30
9182,10,10,100,1,10,10,1,0,21
16812,10,10,1,1,10,10,1,0,41
58261,1,1,10,1,1,1,1,1,30
8515,10,1,100,10,1000,10,1,0,38
16076,10,10,10,1,10,10,1000,1,40
51359,10,1,10,1,10,10,1,1,54
28007,1,1,1,1,1,1,10000,0,41
33675,1,1,10,1,10,10,1,1,30
42590,1,1,10,1,1,1,1,0,56
45258,1,10,1,1,1,100,1,0,47
59814,1,1,1,1,1,100,10,2,24
23955,1,1,10,1,1,1,1,1,21
28985,1,1,10,1,1,1,1,0,18
30656,1,1,10,1,1,100,1,0,19
43516,10,1,1,1,1000,10,1,0,58
22235,1,10,100,1,1,1,1,0,20
42679,1,1,10,1,1,1,1,1,41
32149,1,1,10,1,1,1,1,2,19
56152,1,1,10,1,1,1,1,2,30
8495,1,1,100,1,1,1,1,0,28
56641,1,1,10,1,1,1,1000,0,49
15422,1,1,10,1,1,100,1,0,23
25269,10,1,100,1,10,10,1,0,22
53074,1,1,1,1,1,1,10,1,26
49157,1,1,10,1,1,1,1,0,47
29943,1,1,1,1,1,1,1,0,27
35222,10,1,10,1,1000,10,1,0,20
50419,1,10,10,1,1,1,1,0,63
22343,10,1,100,1,10,10,10,0,37
14826,1,1,1,1,1,1,1,2,21
20388,1,1,10,1,1,1,1,1,23
17933,10,1,1,1,1000,10,1,0,57
10455,1,10,1,1,1,1,1,0,37
56110,1,1,1,1,1,100,1,1,25
32005,10,1,100000,1,1,1,1,0,27
17023,1,10,1,1,1,100,1,0,31
37549,1,1,1,1,1,1,1,0,56
12058,1,1,1,1,1,1,1,0,64
10040,1,1,1000000,1,10,10,1000,0,32
59107,10,10,1,1,10,10,1000,1,31
20459,1,10,10,1,1,1,10000,0,30
10260,1,1,10,1,1,1,1000,1,31
46297,1,1,100,1,1,1,1,2,19
58298,10,1,10,1,10,10,1,0,26
21231,1,1,1,1,1,1000,1,2,18
42388,1,1,1,1,1,1,1,0,20
32843,1,1,1,1,1,1,1,0,23
28853,1,1,10,1,1,1,1000000,0,29
52371,1,1,10,1,1,100,1,0,48
19539,1,1,1,1,1,100,1,0,20
42525,10,1,10,1,1000,10,1,0,59
23373,1,1,100,1,1,1,1,0,29
13500,10,1,1,1,10,10,1,0,36
9637,1,1,10,1,1,1,1,1,51
6728,1,1,1,1,1,1,1,1,45
19042,1,1,1,1,1,1,1,0,38
33780,1,1,1,1,10,10,1000,0,59
13261,1,1,10,1,1,1,1,1,28
37576,10,1,100,1,10,10,1,2,44
54386,1,10,1,1,1,1,1,0,47
54404,1,1,10,1,10,10,10,2,31
45050,10,1,1,1,1000,10,1000,0,46
36863,10,10,1,1,10,10,10,0,42
56496,1,1,1,1,1,100,1,0,33
3789,1,1,10,1,1,1,1,1,30
42751,10,1,10,1,10,10,1,2,31
49136,1,1,1,1,1,1,1,0,32
2766,1,10,10,1,1,100,1,1,19
53453,1,1,100,1,1,1,1,0,35
8477,1,1,10,1,1,1,10,1,30
14735,10,10,10,1,10,10,1,0,39
35750,1,1,1,1,1,100,1,0,52
9427,1,1,10,1,1,1,1,2,27
30240,1,1,10,1,1,1,10,1,26
23749,10,1,10,1,10,10,1,1,29
11698,1,1,10,1,10,10,1,1,28
43257,1,10,10,1,1,100,1,2,28
22529,1,1,1,1,1,1,100,0,33
45124,10,1,1,1,10,10,1000,2,35
40338,10,1,1,1,10,10,1,0,40
60152,1,1,1,1,1,100,10000,1,35
18724,1,1,10,1,1,1,1,0,19
29419,10,1,10,1,10,10,1,2,22
35186,1,1,10,1,1,1,1,0,41
40696,1,1,100,1,1,1,1,0,25
42834,10,10,10,1,10,10,1,0,28
49778,1,1,100,1,1,1,1,0,19
38296,1,1,10,1,1,1,1,1,26
6968,1,1,100,1,1,1,1,0,40
48468,1,1,10,1,10,10,1,1,26
4262,1,1,10,1,1,1,1,0,21
32850,1,1,10,1,10,10,1,0,46
3637,100,1,10,1,100,10,1,2,22
8910,1,1,1,1,1,1,1,0,28
18793,1,10,10,1,1,1,1,1,19
28417,10,1,100,1,10,10,1,0,29
29180,1,10,1000,1,1,100,10000,0,37
26617,1,1,10,1,10,10,1000,2,37
47742,1,1,1,1,1,1,10,0,35
30530,1,1,1,1,1,1,1,0,24
4901,1,10,10,1,1,1,10,0,44
18190,10,10,10,1,10,10,1,2,25
57503,1,1,100,1,1,1,1000000,0,70
3824,10,1,10,1,10,10,1,0,31
54282,10,1,1,1,10,10,1,0,25
31971,1,1,10,1,1,1,1,1,33
39867,1,1,10,1,1,1,1,0,33
12118,1,1,100,1,1,1,1,2,22
38757,1,10,1,1,1,1,10,0,38
38169,10,1,1,1,10,10,1000,0,34
52253,10,1,10,1,10,10,100000,0,70
59191,1,1,10,1,1,1,1,2,28
45125,10,1,1,1,10,10,1000,2,35
37633,1,1,1,1,1,1,1,2,19
